IDSTAZIONE;GIORNO;MESE;ANNO;ORA;LIVIDRO_MIN;LIVIDRO_MED;LIVIDRO_MAX;PORT_MIN;PORT_MED;PORT_MAX
406;01;01;2023;01;0.57;0.58;0.58;4.33;4.49;4.64
406;01;01;2023;02;0.57;0.57;0.57;4.33;4.33;4.33
406;01;01;2023;03;0.57;0.57;0.58;4.33;4.43;4.64
406;01;01;2023;04;0.58;0.59;0.59;4.64;4.86;4.97
406;01;01;2023;05;0.59;0.59;0.59;4.97;4.97;4.97
406;01;01;2023;06;0.57;0.58;0.59;4.33;4.64;4.97
406;01;01;2023;07;0.57;0.57;0.57;4.33;4.33;4.33
406;01;01;2023;08;0.57;0.57;0.58;4.33;4.43;4.64
406;01;01;2023;09;0.58;0.58;0.59;4.64;4.75;4.97
406;01;01;2023;10;0.58;0.58;0.59;4.64;4.70;4.97
406;01;01;2023;11;0.58;0.58;0.58;4.64;4.64;4.64
406;01;01;2023;12;0.57;0.58;0.58;4.33;4.54;4.64
406;01;01;2023;13;0.57;0.57;0.57;4.33;4.33;4.33
406;01;01;2023;14;0.57;0.57;0.58;4.33;4.38;4.64
406;01;01;2023;15;0.58;0.58;0.58;4.64;4.64;4.64
406;01;01;2023;16;0.58;0.58;0.59;4.64;4.70;4.97
406;01;01;2023;17;0.58;0.59;0.59;4.64;4.86;4.97
406;01;01;2023;18;0.58;0.58;0.59;4.64;4.70;4.97
406;01;01;2023;19;0.57;0.58;0.58;4.33;4.59;4.64
406;01;01;2023;20;0.57;0.58;0.58;4.33;4.59;4.64
406;01;01;2023;21;0.58;0.58;0.58;4.64;4.64;4.64
406;01;01;2023;22;0.58;0.59;0.59;4.64;4.91;4.97
406;01;01;2023;23;0.58;0.58;0.58;4.64;4.64;4.64
406;02;01;2023;00;0.58;0.58;0.58;4.64;4.64;4.64
406;02;01;2023;01;0.58;0.58;0.58;4.64;4.64;4.64
406;02;01;2023;02;0.58;0.58;0.58;4.64;4.64;4.64
